StockItemID,CountryOfManufacture,Tags
38,"China","Comedy"
39,"China","Comedy"
40,"China","Comedy"
41,"China","Comedy"
42,"China","Comedy"
43,"China","Comedy"
44,"China","Comedy"
45,"China","Comedy"
46,"China","Comedy"
47,"China","Comedy"
48,"China","Comedy"
49,"China","Comedy"
50,"China","Comedy"
51,"China","Comedy"
52,"China","Comedy"
53,"China","Comedy"
54,"China","Comedy"
55,"China","Comedy"
56,"China","Comedy"
57,"China","Comedy"
58,"China","Radio Control"
58,"China","Realistic Sound"
59,"China","Radio Control"
59,"China","Realistic Sound"
60,"China","Radio Control"
60,"China","Realistic Sound"
61,"China","Radio Control"
61,"China","Realistic Sound"
62,"China","Radio Control"
62,"China","Realistic Sound"
63,"China","Radio Control"
63,"China","Realistic Sound"
64,"China","Radio Control"
64,"China","Realistic Sound"
64,"China","Vintage"
65,"China","Radio Control"
65,"China","Realistic Sound"
65,"China","Vintage"
66,"China","Radio Control"
66,"China","Realistic Sound"
67,"China","So Realistic"
68,"China","So Realistic"
69,"China","So Realistic"
70,"China","So Realistic"
71,"China","So Realistic"
72,"China","So Realistic"
73,"China","Vintage"
73,"China","So Realistic"
74,"China","Vintage"
74,"China","So Realistic"
75,"China","So Realistic"
76,"China",""
77,"China",""
78,"China",""
79,"China",""
80,"China",""
81,"China",""
82,"China",""
83,"China",""
84,"China",""
85,"China",""
86,"China",""
87,"China",""
88,"China",""
89,"China",""
90,"China",""
91,"China",""
92,"China",""
93,"China",""
94,"China",""
95,"China",""
96,"China",""
97,"China",""
98,"China",""
99,"China",""
100,"China",""
101,"China",""
102,"China",""
103,"China",""
104,"China",""
105,"China",""
106,"China",""
107,"China",""
108,"China",""
109,"China",""
110,"China",""
111,"China",""
112,"China",""
113,"China",""
114,"China",""
115,"China",""
116,"China",""
117,"China",""
118,"China","Comfortable"
118,"China","Long Battery Life"
119,"China","Comfortable"
119,"China","Long Battery Life"
120,"China","Comfortable"
120,"China","Long Battery Life"
121,"China","Comfortable"
121,"China","Long Battery Life"
122,"China","Comfortable"
122,"China","Long Battery Life"
123,"China","Comfortable"
123,"China","Long Battery Life"
124,"China","Comfortable"
124,"China","Long Battery Life"
125,"China","Comfortable"
125,"China","Long Battery Life"
126,"China","Comfortable"
126,"China","Long Battery Life"
127,"China","Comfortable"
127,"China","Long Battery Life"
128,"China","Comfortable"
128,"China","Long Battery Life"
129,"China","Comfortable"
129,"China","Long Battery Life"
130,"China","Comfortable"
130,"China","Long Battery Life"
131,"China","Comfortable"
131,"China","Long Battery Life"
132,"China","Comfortable"
132,"China","Long Battery Life"
133,"China","Comfortable"
133,"China","Long Battery Life"
134,"China","Comfortable"
134,"China","Long Battery Life"
135,"China","Comfortable"
135,"China","Long Battery Life"
136,"China","Comfortable"
136,"China","Long Battery Life"
137,"China","Comfortable"
137,"China","Long Battery Life"
138,"China",""
139,"China",""
140,"China",""
141,"China",""
142,"China","Halloween Fun"
143,"China","Halloween Fun"
144,"China","Halloween Fun"
145,"China","Halloween Fun"
146,"China","Halloween Fun"
147,"China","Halloween Fun"
148,"China","Halloween Fun"
149,"China","Halloween Fun"
150,"China","Super Value"
151,"China","Super Value"
152,"China","Super Value"
4,"Japan","32GB"
4,"Japan","USB Powered"
5,"Japan","16GB"
5,"Japan","USB Powered"
6,"Japan","32GB"
6,"Japan","USB Powered"
7,"Japan","16GB"
7,"Japan","USB Powered"
8,"Japan","32GB"
8,"Japan","USB Powered"
9,"Japan","16GB"
9,"Japan","USB Powered"
10,"Japan","32GB"
10,"Japan","USB Powered"
11,"Japan","16GB"
11,"Japan","USB Powered"
12,"Japan","32GB"
12,"Japan","USB Powered"
13,"Japan","16GB"
13,"Japan","USB Powered"
14,"Japan","32GB"
14,"Japan","USB Powered"
15,"Japan","16GB"
15,"Japan","USB Powered"
220,"USA",""
221,"USA",""
222,"USA",""
223,"USA",""
224,"USA",""
225,"USA",""
226,"USA",""
227,"USA",""
